,SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W)
SOC,1,0.038505728,-0.04241999,0.910427351,0.024762729,0.022900458,0.022607682,0.014311747,-0.007617641,0.717182188
PulseLength(s),0.038505728,1,0.117033159,0.089664983,-0.080529235,-0.082598856,-0.083104543,-0.085192784,-0.0876085,0.037094989
Temperature(C),-0.04241999,0.117033159,1,0.030036138,-0.137148661,-0.133680768,-0.132276851,-0.129607588,-0.113159262,0.392031762
Voltage(V),0.910427351,0.089664983,0.030036138,1,-0.327624581,-0.329373057,-0.329602067,-0.335899988,-0.324218632,0.646520216
Current(A),0.024762729,-0.080529235,-0.137148661,-0.327624581,1,0.999685198,0.999534897,0.994250349,0.934730579,0.186984398
AvgCurrent_5s,0.022900458,-0.082598856,-0.133680768,-0.329373057,0.999685198,1,0.999974348,0.994758886,0.935329467,0.18761835
AvgCurrent_10s,0.022607682,-0.083104543,-0.132276851,-0.329602067,0.999534897,0.999974348,1,0.994833957,0.935453534,0.188006779
AvgCurrent_20s,0.014311747,-0.085192784,-0.129607588,-0.335899988,0.994250349,0.994758886,0.994833957,1,0.958242409,0.189477665
AvgCurrent_50s,-0.007617641,-0.0876085,-0.113159262,-0.324218632,0.934730579,0.935329467,0.935453534,0.958242409,1,0.201663391
SOP(W),0.717182188,0.037094989,0.392031762,0.646520216,0.186984398,0.18761835,0.188006779,0.189477665,0.201663391,1
