SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,SOP(W)
1.000006667,30.003,26.039,4.1922,0.111111111,1,109.31
0.95,30.001,25.249,4.098,0.214278571,1,108.66
0.9,30.002,25.744,4.0794,0.214282143,1,107.51
0.85,30.003,25.472,4.0681,0.214282143,1,106.59
0.8,30.001,25.405,4.0199,0.214278571,1,105.56
0.750033333,30.003,25.25,3.9593,0.206889655,1,104.4
0.7,30.004,25.169,3.9176,0.206893103,1,103.2
0.65,30.002,25.233,3.8836,0.206910345,1,101.66
0.6,30.004,25.177,3.8162,0.206882759,1,99.966
0.550033333,30.002,25.65,3.7653,0.206889655,1,98.229
0.500033333,30.001,25.414,3.7169,0.214296429,1,96.701
0.45,30.003,25.593,3.6729,0.206896552,1,88.54
0.450033333,30.003,25.95,3.6738,0.206896552,1,95.311
0.4,30.003,26,3.6381,0.206889655,1,81.106
0.349933333,30.004,25.99,3.6064,0.20687931,1,72.685
0.2999,30.003,25.23,3.5698,0.206893103,1,64.104
0.25,30.004,25.47,3.5253,0.206893103,1,52.064
0.199933333,30.002,25.605,3.462,0.206889655,1,36.98
0.150033333,30.003,25.53,3.4043,0.206886207,1,21.451
0.149833333,30.002,25.697,3.4061,0.107139286,1,26.593
0.150033333,30.002,26.034,3.4246,0.206889655,1,23.934
0.099666667,30.002,25.721,3.3436,0.206893103,1,10.299
0.1,30.002,26.086,3.3508,0.107142857,1,10.779
0.099666667,30.004,25.582,3.3736,0.200006667,1,11.086
0.05,30.003,25.346,3.0267,0.206893103,1,0.35908
0.99962,10.003,-7.8549,4.1686,0,1,53.278
0.950013333,10.003,-8.4938,4.0767,0,1,57.463
0.900016667,10.002,-8.3467,4.0565,0,1,56.166
0.85002,10.003,-9.4867,4.0113,0,1,55.79
0.850016667,10.001,-8.7273,4.0231,0,1,54.486
0.85,10.002,-9.8015,4.0293,0,1,53.741
0.8,10.003,-9.0271,3.9608,0,1,51.896
0.799996667,10.003,-8.7288,3.9717,0,1,51.422
0.750006667,10.003,-9.7042,3.9139,0,1,48.02
0.700006667,10.002,-8.3898,3.8719,0,1,45.667
