SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W),SOP(W)_real
1.000000026,30.002,25.575,4.1568,0.0,0.0,0.0,0.0,0.0,0.950906649684442,102.39
0.900000026,30.003,27.726,4.071,0.0,0.0,0.0,0.0,0.0,0.9317819308868152,100.45
0.800000026,30.002,27.702,3.9913,0.0,0.0,0.0,0.0,0.0,0.914756987915938,98.723
0.69999618,30.003,27.618,3.9069,0.0,0.0,0.0,0.0,0.0,0.8937690877509132,96.594
0.600000026,30.002,27.581,3.8096,0.0,0.0,0.0,0.0,0.0,0.8639976182824425,93.574
0.500000026,30.002,27.745,3.7168,0.0,0.0,0.0,0.0,0.0,0.8278775308213573,89.91
0.400000026,30.001,27.822,3.643,0.0,0.0,0.0,0.0,0.0,0.7945374282576593,86.528
0.300000026,30.001,27.682,3.5852,0.0,0.0,0.0,0.0,0.0,0.7485099478112054,81.859
0.200000026,30.002,27.558,3.5043,0.0,0.0,0.0,0.0,0.0,0.590277545017025,65.808
0.100000026,30.001,27.84,3.3998,0.0,0.0,0.0,0.0,0.0,0.2544612842741577,31.743
1.000000022,2.002,25.756,4.1557,0.0,0.0,0.0,0.0,0.0,0.975453324842221,104.88
0.950176946,2.002,26.408,4.0351,-0.99993,0.9998720000000001,0.99989,0.9998630000000001,0.9998570588235295,0.9758476489411412,104.92
0.900161561,2.002,26.139,4.0021,-1.0,1.0000766666666667,1.0001236363636363,1.000121904761905,1.0001149019607842,0.97259447512505,104.59
0.800146176,2.003,26.082,3.9237,-0.99991,0.9998433333333333,0.9998330000000001,0.9998555,0.9998717647058825,0.9583002265391948,103.14
0.700150022,2.003,26.705,3.8542,-0.99982,0.9998616666666665,0.99984,0.9998733333333334,0.9998864000000001,0.9412457092608986,101.41
0.600115407,2.001,26.196,3.7553,-1.0002,1.0001166666666668,1.000118181818182,1.0001057142857142,1.00012137254902,0.9166398854882817,98.914
0.500153869,2.002,26.075,3.6677,-1.0001,1.000095,1.0001245454545453,1.0001071428571429,1.0001129411764706,0.8893230835355888,96.143
0.400153869,2.002,26.069,3.5949,-1.0001,1.00012,1.0001200000000001,1.0001123809523809,1.000123137254902,0.8641553479220105,93.59
0.300153869,2.004,25.966,3.5291,-1.0,1.0000766666666665,1.0000481818181817,1.0000919047619048,1.0000888,0.8350147970118119,90.634
0.20019233,2.002,26.6,3.4439,-0.99997,0.9998966666666668,0.9998981818181818,0.9999,0.9999062745098038,0.7786855994810695,84.92
0.150153869,2.002,26.948,3.3817,-0.99989,0.999905,0.9999054545454545,0.9998861904761905,0.9998854901960784,0.7264573725790965,79.622
0.100153869,2.003,26.666,3.3131,-0.99993,0.9998733333333333,0.99987,0.9998690476190477,0.9998721568627451,0.5705120495586528,63.803
0.050000022,2.002,27.278,3.2573,0.0,0.66662,0.8181181818181819,0.9046728571428572,0.9606837254901961,0.37571594469210184,44.043
0.020000022,2.002,27.702,3.2307,0.0,0.0,0.0,0.0,0.0,0.2823991466826499,34.577
1.000000088,10.001,39.394,4.1276,0.0,0.0,0.0,0.0,0.0,1.0,107.37
0.950191862,10.001,41.578,4.0496,-1.0001,1.000024,1.0000319999999998,1.0000559999999998,1.0000714000000002,0.9932964903183575,106.69
0.900000088,10.002,42.91,4.039,0.0,0.0,0.18183636363636363,0.5714690476190476,0.82359,0.9888603442055058,106.24
0.800201356,10.002,41.193,3.9375,-0.99981,0.9998866666666667,0.99988,0.999855238095238,0.9998686274509804,0.9708200166799094,104.41
0.700133001,10.002,41.636,3.8621,-1.0002,1.000064,1.0001120000000001,1.000111,1.0000948,0.9499208394371418,102.29
0.600197559,10.002,41.67,3.7615,-0.9998,0.99985,0.9998681818181818,0.999881,0.999861568627451,0.9223378687176778,99.492
0.500170976,10.002,41.062,3.6741,-1.0,1.00002,1.000039,1.0000719999999998,1.000081568627451,0.8947154655883216,96.69
0.400144393,10.002,41.325,3.6038,-0.99978,0.9998266666666668,0.9999045454545453,0.9998900000000001,0.9998862745098039,0.8697448920242036,94.157
0.300193761,10.002,40.977,3.5355,-1.0,1.0000833333333332,1.0001,1.000104761904762,1.000110588235294,0.8409986652129251,91.241
0.200091228,10.002,41.341,3.4458,-0.99994,0.9998319999999999,0.9998420000000001,0.9998414999999999,0.9998427450980392,0.7861777573605523,85.68
0.150001986,10.002,42.761,3.4165,0.0,0.0,0.0,0.0,0.0,0.7455328008643585,81.557
0.099988695,10.003,42.627,3.3837,0.0,0.0,0.0,0.0,0.0,0.6275904628773435,69.593
0.050013379,10.002,42.904,3.3134,0.0,0.0,0.0,0.0,0.0,0.3742175131162053,43.891
0.020012999,10.003,42.758,3.1447,0.0,0.0,0.0,0.0,0.0,0.1902160304575934,25.226
1.000000111,10.002,-8.0474,4.135,0.0,0.0,0.0,0.0,0.0,0.6523145838796365,72.101
0.950000111,10.003,-7.063,4.0469,0.0,0.0,0.0,0.0,0.0,0.6651695495044332,73.405
0.899995742,10.002,-7.1402,3.9806,0.0,0.0,0.0,0.0,0.0,0.6548481162151985,72.358
0.799995742,10.003,-7.1778,3.87,0.0,0.0,0.0,0.0,0.0,0.6017030857832361,66.967
