SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W)
1.000016667,2.002,10.876,3.4505,0.0,0.0,0.0,0.0,0.0,76.323
0.950041667,2.003,10.183,3.3343,0.0,0.0,0.0,0.0,0.0,75.629
0.900058333,2.003,11.052,3.3316,0.0,0.0,0.0,0.0,0.0,75.303
0.850075,2.002,10.938,3.3293,0.0,0.0,0.0,0.0,0.0,75.052
0.800091667,2.004,10.279,3.3267,0.0,0.0,0.0,0.0,0.0,74.733
0.750108333,2.005,10.608,3.3174,0.0,0.0,0.0,0.0,0.0,74.16
0.700125,2.003,11.229,3.3011,0.0,0.0,0.0,0.0,0.0,73.511
0.650133333,2.003,10.619,3.2922,0.0,0.0,0.0,0.0,0.0,72.894
0.600158333,2.004,10.37,3.2878,0.0,0.0,0.0,0.0,0.0,72.349
0.550175,2.001,10.192,3.2853,0.0,0.0,0.0,0.0,0.0,71.837
0.500183333,2.002,10.787,3.2835,0.0,0.0,0.0,0.0,0.0,71.334
0.450216667,2.005,11.196,3.2817,0.0,0.0,0.0,0.0,0.0,70.709
0.400241667,2.002,10.468,3.2795,0.0,0.0,0.0,0.0,0.0,69.949
0.350258333,2.005,10.874,3.2746,0.0,0.0,0.0,0.0,0.0,68.951
0.350241667,2.003,10.852,3.2799,0.0,0.0,0.0,0.0,0.0,69.568
0.300225,2.004,10.619,3.2635,0.0,0.0,0.0,0.0,0.0,67.706
0.300241667,2.002,10.763,3.2683,0.0,0.0,0.0,0.0,0.0,68.463
0.2502,2.004,10.198,3.2483,0.0,0.0,0.0,0.0,0.0,65.901
0.250166667,2.003,11.102,3.2529,0.0,0.0,0.0,0.0,0.0,66.941
0.250116667,2.003,11.179,3.255,0.0,0.0,0.0,0.0,0.0,67.408
0.200141667,2.003,11.025,3.2282,0.0,0.0,0.0,0.0,0.0,63.114
0.200158333,2.001,10.16,3.233,0.0,0.0,0.0,0.0,0.0,65.089
0.20015,2.003,10.858,3.2355,0.0,0.0,0.0,0.0,0.0,65.813
0.15015,2.004,10.853,3.2042,0.0,0.0,0.0,0.0,0.0,54.5
0.150125,2.003,10.322,3.2085,0.0,0.0,0.0,0.0,0.0,61.156
0.150066667,2.002,10.328,3.2115,0.0,0.0,0.0,0.0,0.0,63.449
0.150083333,2.003,10.793,3.2131,0.0,0.0,0.0,0.0,0.0,63.995
0.100125,2.003,10.206,3.1908,0.0,0.0,0.0,0.0,0.0,46.478
0.100141667,2.001,11.168,3.1962,0.0,0.0,0.0,0.0,0.0,54.734
0.100116667,2.003,10.749,3.1998,0.0,0.0,0.0,0.0,0.0,57.874
0.100033333,2.003,10.862,3.2017,0.0,0.0,0.0,0.0,0.0,59.241
0.100033333,2.002,10.67,3.2032,0.0,0.0,0.0,0.0,0.0,60.111
0.10005,2.003,10.759,3.2042,0.0,0.0,0.0,0.0,0.0,60.746
0.050125,2.002,11.143,3.0898,0.0,0.0,0.0,0.0,0.0,34.792
0.050075,2.003,10.323,3.1002,0.0,0.0,0.0,0.0,0.0,43.099
0.050075,2.002,11.21,3.1052,0.0,0.0,0.0,0.0,0.0,46.087
0.050058333,2.005,10.836,3.1092,0.0,0.0,0.0,0.0,0.0,47.404
0.050058333,2.002,10.622,3.1125,0.0,0.0,0.0,0.0,0.0,48.21
0.05,2.004,10.871,3.1152,0.0,0.0,0.0,0.0,0.0,48.868
1.000025,2.002,1.2079,3.4567,0.0,0.0,0.0,0.0,0.0,68.786
1.000016667,2.002,1.3944,3.4604,0.0,0.0,0.0,0.0,0.0,68.618
0.950041667,2.002,1.1233,3.3309,0.0,0.0,0.0,0.0,0.0,67.857
0.90005,2.002,0.69581,3.3272,0.0,0.0,0.0,0.0,0.0,67.389
0.850075,2.003,1.207,3.324,0.0,0.0,0.0,0.0,0.0,66.885
0.800091667,2.002,0.4615,3.3182,0.0,0.0,0.0,0.0,0.0,66.22
0.7501,2.002,1.4256,3.3053,0.0,0.0,0.0,0.0,0.0,65.577
0.700116667,2.003,0.91965,3.294,0.0,0.0,0.0,0.0,0.0,64.846
0.650133333,2.002,0.85482,3.2867,0.0,0.0,0.0,0.0,0.0,64.155
0.60015,2.003,0.53287,3.2824,0.0,0.0,0.0,0.0,0.0,62.956
0.60015,2.002,1.0556,3.2864,0.0,0.0,0.0,0.0,0.0,63.734
0.550133333,2.003,0.68637,3.2794,0.0,0.0,0.0,0.0,0.0,61.43
0.550125,2.004,0.5136,3.2836,0.0,0.0,0.0,0.0,0.0,62.769
0.550083333,2.002,0.58517,3.2856,0.0,0.0,0.0,0.0,0.0,63.374
0.500066667,2.003,0.78894,3.2765,0.0,0.0,0.0,0.0,0.0,59.451
0.5001,2.003,0.75749,3.2811,0.0,0.0,0.0,0.0,0.0,61.175
0.50005,2.002,1.47,3.2831,0.0,0.0,0.0,0.0,0.0,62.345
0.5001,2.002,1.7054,3.2846,0.0,0.0,0.0,0.0,0.0,62.912
0.450066667,2.003,0.67183,3.2736,0.0,0.0,0.0,0.0,0.0,57.461
0.450116667,2.003,1.9252,3.2787,0.0,0.0,0.0,0.0,0.0,59.319
0.450008333,2.003,1.2827,3.2811,0.0,0.0,0.0,0.0,0.0,61.127
0.450033333,2.002,0.7002,3.2827,0.0,0.0,0.0,0.0,0.0,61.787
0.400066667,2.002,0.74807,3.2702,0.0,0.0,0.0,0.0,0.0,55.324
0.400025,2.002,1.4031,3.2763,0.0,0.0,0.0,0.0,0.0,57.923
0.399975,2.003,0.83511,3.2789,0.0,0.0,0.0,0.0,0.0,59.089
0.400008333,2.001,1.3776,3.2806,0.0,0.0,0.0,0.0,0.0,59.858
0.35005,2.003,1.5486,3.2645,0.0,0.0,0.0,0.0,0.0,51.774
0.350066667,2.002,1.4556,3.2716,0.0,0.0,0.0,0.0,0.0,54.756
0.350016667,2.002,0.44726,3.2747,0.0,0.0,0.0,0.0,0.0,56.511
0.349991667,2.001,0.48017,3.2767,0.0,0.0,0.0,0.0,0.0,57.545
0.34995,2.002,0.75986,3.2784,0.0,0.0,0.0,0.0,0.0,58.103
0.349983333,2.002,0.91168,3.2797,0.0,0.0,0.0,0.0,0.0,58.638
0.300025,2.003,0.69336,3.2559,0.0,0.0,0.0,0.0,0.0,48.307
0.300016667,2.001,1.4232,3.2625,0.0,0.0,0.0,0.0,0.0,51.756
0.299975,2.001,1.2155,3.2658,0.0,0.0,0.0,0.0,0.0,53.805
0.29995,2.002,0.42175,3.2678,0.0,0.0,0.0,0.0,0.0,55.014
0.299925,2.002,0.80869,3.2696,0.0,0.0,0.0,0.0,0.0,55.716
0.299941667,2.001,0.5418,3.2712,0.0,0.0,0.0,0.0,0.0,56.214
0.250008333,2.003,1.0566,3.2423,0.0,0.0,0.0,0.0,0.0,44.649
0.249933333,2.002,1.2164,3.2484,0.0,0.0,0.0,0.0,0.0,48.477
0.249891667,2.001,0.5634,3.2514,0.0,0.0,0.0,0.0,0.0,50.663
0.2499,2.003,0.97135,3.2534,0.0,0.0,0.0,0.0,0.0,51.884
0.249925,2.002,0.9836,3.2548,0.0,0.0,0.0,0.0,0.0,52.655
0.249925,2.003,0.65615,3.2562,0.0,0.0,0.0,0.0,0.0,53.11
0.2,2.002,0.5328,3.2229,0.0,0.0,0.0,0.0,0.0,40.496
0.2,2.002,1.4518,3.2287,0.0,0.0,0.0,0.0,0.0,44.847
0.199916667,2.002,1.2384,3.2318,0.0,0.0,0.0,0.0,0.0,47.239
0.199916667,2.002,1.5654,3.2338,0.0,0.0,0.0,0.0,0.0,48.525
0.199916667,2.003,1.4419,3.2355,0.0,0.0,0.0,0.0,0.0,49.357
0.199916667,2.003,0.90782,3.2368,0.0,0.0,0.0,0.0,0.0,49.869
0.149916667,2.002,0.45134,3.2002,0.0,0.0,0.0,0.0,0.0,36.564
0.149916667,2.002,0.47581,3.2051,0.0,0.0,0.0,0.0,0.0,41.195
0.149916667,2.002,0.72294,3.2084,0.0,0.0,0.0,0.0,0.0,43.683
0.149833333,2.002,1.0353,3.2103,0.0,0.0,0.0,0.0,0.0,44.964
0.149916667,2.002,0.89749,3.2119,0.0,0.0,0.0,0.0,0.0,45.784
0.149833333,2.002,1.0946,3.2131,0.0,0.0,0.0,0.0,0.0,46.364
0.099916667,2.002,0.80811,3.1817,0.0,0.0,0.0,0.0,0.0,33.287
0.099916667,2.003,1.3437,3.1896,0.0,0.0,0.0,0.0,0.0,37.556
0.099833333,2.002,1.3699,3.1939,0.0,0.0,0.0,0.0,0.0,39.92
0.099833333,2.002,0.94547,3.1962,0.0,0.0,0.0,0.0,0.0,41.128
0.099833333,2.002,1.3263,3.1981,0.0,0.0,0.0,0.0,0.0,41.931
0.099833333,2.002,1.3606,3.1994,0.0,0.0,0.0,0.0,0.0,42.52
0.099916667,2.002,1.0419,3.2007,0.0,0.0,0.0,0.0,0.0,43.006
