SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W)
0.600115407,2.001,26.196,3.7553,1.0002,1.000116667,1.000118182,1.000105714,1.000121373,98.914
1.000000022,2.002,25.756,4.1557,0,0,0,0,0,104.88
0.950176946,2.002,26.408,4.0351,0.99993,0.999872,0.99989,0.999863,0.999857059,104.92
0.900161561,2.002,26.139,4.0021,1,1.000076667,1.000123636,1.000121905,1.000114902,104.59
0.500153869,2.002,26.075,3.6677,1.0001,1.000095,1.000124545,1.000107143,1.000112941,96.143
0.400153869,2.002,26.069,3.5949,1.0001,1.00012,1.00012,1.000112381,1.000123137,93.59
0.20019233,2.002,26.6,3.4439,0.99997,0.999896667,0.999898182,0.9999,0.999906275,84.92
0.150153869,2.002,26.948,3.3817,0.99989,0.999905,0.999905455,0.99988619,0.99988549,79.622
0.050000022,2.002,27.278,3.2573,0,0.66662,0.818118182,0.904672857,0.960683725,44.043
0.020000022,2.002,27.702,3.2307,0,0,0,0,0,34.577
0.800146176,2.003,26.082,3.9237,0.99991,0.999843333,0.999833,0.9998555,0.999871765,103.14
0.700150022,2.003,26.705,3.8542,0.99982,0.999861667,0.99984,0.999873333,0.9998864,101.41
0.100153869,2.003,26.666,3.3131,0.99993,0.999873333,0.99987,0.999869048,0.999872157,63.803
0.300153869,2.004,25.966,3.5291,1,1.000076667,1.000048182,1.000091905,1.0000888,90.634
1.000000088,10.001,39.394,4.1276,0,0,0,0,0,107.37
0.950191862,10.001,41.578,4.0496,1.0001,1.000024,1.000032,1.000056,1.0000714,106.69
0.400000111,10.001,-7.2224,3.561,0,0,0,0,0,35.365
1.000000086,10.001,1.2544,4.1379,0,0,0,0,0,85.272
0.900000086,10.001,2.8199,4.0117,0,0,0,0,0,85.245
0.499979419,10.001,2.778,3.6384,0,0,0,0,0,75.089
1.000000023,10.001,11.066,4.1395,0,0,0,0,0,93.653
0.949998092,10.001,12.928,4.0698,0,0,0,0,0,93.925
0.599984578,10.001,12.807,3.7227,0,0,0,0,0,86.68
0.499980717,10.001,12.785,3.6281,0,0,0,0.523727619,0.803796078,83.338
0.900696173,10.001,2.3268,3.8522,6.0021,6.00138,6.00119,6.00113,3.962960377,99.026
0.600786686,10.001,3.2405,3.6155,6.0004,6.000766667,6.000909091,6.000909524,6.000941176,92.481
0.300776258,10.001,3.1931,3.3532,5.9987,5.99888,5.99862,5.998675,5.998778431,81.207
1,10.001,0.74664,4.1905,0,0,0,0,0,99.374
0.401336664,10.001,3.6419,3.3612,8.9975,8.99808,8.998054545,8.998114286,8.99822549,85.158
0.600508204,10.001,2.1653,3.7003,3.0001,3.00002,3.00004,3.000035,3.000014,92.676
0.950113133,10.001,0.98904,4.0327,1.0002,1.000095,1.000093,1.000134286,1.000118039,99.704
0.500121835,10.001,0.48023,3.6857,1,1.000116667,1.00011,1.000085,1.000094314,89.868
0.150127056,10.001,1.2674,3.3933,1.0002,1.000166667,1.000136364,1.00012381,1.000112745,44.98
0.900000088,10.002,42.91,4.039,0,0,0.181836364,0.571469048,0.82359,106.24
0.800201356,10.002,41.193,3.9375,0.99981,0.999886667,0.99988,0.999855238,0.999868627,104.41
