SOC,Temperature(C),Capacity,R_50%,SOP(W)
1,25,2.98,13.31,112.7579992
0.95,25,2.98,13.31,111.6447608
0.9,25,2.98,13.31,111.0312821
0.8,25,2.98,13.31,108.5047795
0.7,25,2.98,13.31,105.9277878
0.6,25,2.98,13.31,103.7123455
0.5,25,2.98,13.31,100.278143
0.4,25,2.98,13.31,97.75343909
0.3,25,2.98,13.31,95.65684338
0.2,25,2.98,13.31,93.05949393
0.15,25,2.98,13.31,90.97795864
0.1,25,2.98,13.31,82.4750333
0.05,25,2.98,13.31,40.12316
0.02,25,2.98,13.31,27.45796599
0.01,25,2.98,13.31,18.2156247
1,10,2.98,13.31,108.264973
0.95,10,2.98,13.31,107.8524354
0.9,10,2.98,13.31,107.1902983
0.8,10,2.98,13.31,105.0171852
0.7,10,2.98,13.31,102.305229
0.6,10,2.98,13.31,99.6359698
0.5,10,2.98,13.31,96.63629793
0.4,10,2.98,13.31,94.20247716
0.3,10,2.98,13.31,91.86465589
0.2,10,2.98,13.31,88.02610859
0.15,10,2.98,13.31,81.44636046
0.1,10,2.98,13.31,50.68861885
0.05,10,2.98,13.31,21.11838586
1,25,2.92,13.02,112.2290251
0.95,25,2.92,13.02,111.5207977
0.9,25,2.92,13.02,110.9106014
0.8,25,2.92,13.02,108.3629611
0.7,25,2.92,13.02,105.9548861
0.6,25,2.92,13.02,103.6520563
0.5,25,2.92,13.02,100.3883296
0.4,25,2.92,13.02,97.76861688
0.3,25,2.92,13.02,95.58853344
0.2,25,2.92,13.02,92.35758
0.15,25,2.92,13.02,88.9492358
0.1,25,2.92,13.02,73.76070708
0.05,25,2.92,13.02,39.6889538
0.02,25,2.92,13.02,22.36410559
0.01,25,2.92,13.02,14.96518108
1,10,2.92,13.02,107.3460507
0.95,10,2.92,13.02,106.8349043
0.9,10,2.92,13.02,106.4130656
0.8,10,2.92,13.02,104.3045696
0.7,10,2.92,13.02,102.1405922
0.6,10,2.92,13.02,99.46194115
0.5,10,2.92,13.02,96.08615492
0.4,10,2.92,13.02,93.51688472
0.3,10,2.92,13.02,90.88965759
0.2,10,2.92,13.02,84.45790412
0.15,10,2.92,13.02,68.38780777
0.1,10,2.92,13.02,39.21024287
0.05,10,2.92,13.02,17.50421745
1,25,2.86,13.52,111.58
0.95,25,2.86,13.52,110.87
0.9,25,2.86,13.52,110.23
0.8,25,2.86,13.52,107.77
0.7,25,2.86,13.52,105.52
0.6,25,2.86,13.52,103.18
0.5,25,2.86,13.52,99.916
0.4,25,2.86,13.52,97.304
0.3,25,2.86,13.52,95.03
0.2,25,2.86,13.52,91.696
0.15,25,2.86,13.52,87.198
0.1,25,2.86,13.52,69.319
0.05,25,2.86,13.52,38.035
0.02,25,2.86,13.52,22.318
0.01,25,2.86,13.52,14.909
1,10,2.86,13.52,105.81
0.95,10,2.86,13.52,105.85
0.9,10,2.86,13.52,105.35
0.8,10,2.86,13.52,103.41
0.7,10,2.86,13.52,101.44
0.6,10,2.86,13.52,98.808
0.5,10,2.86,13.52,95.703
0.4,10,2.86,13.52,93.054
0.3,10,2.86,13.52,89.979
0.2,10,2.86,13.52,82.711
0.15,10,2.86,13.52,65.775
0.1,10,2.86,13.52,37.073
0.05,10,2.86,13.52,18.822
1,25,2.82,14.02,110.77
0.95,25,2.82,14.02,110.22
0.9,25,2.82,14.02,109.55
0.8,25,2.82,14.02,107.23
0.7,25,2.82,14.02,105.09
0.6,25,2.82,14.02,102.73
0.5,25,2.82,14.02,99.488
0.4,25,2.82,14.02,96.88
0.3,25,2.82,14.02,94.531
0.2,25,2.82,14.02,90.821
0.15,25,2.82,14.02,85.505
0.1,25,2.82,14.02,64.178
0.05,25,2.82,14.02,36.373
0.02,25,2.82,14.02,21.857
0.01,25,2.82,14.02,15.287
1,10,2.82,14.02,105.12
0.95,10,2.82,14.02,105.08
0.9,10,2.82,14.02,104.46
0.8,10,2.82,14.02,102.37
0.7,10,2.82,14.02,100.54
0.6,10,2.82,14.02,97.666
0.5,10,2.82,14.02,94.629
0.4,10,2.82,14.02,91.93
0.3,10,2.82,14.02,88.631
0.2,10,2.82,14.02,78.712
0.15,10,2.82,14.02,55.097
0.1,10,2.82,14.02,31.599
0.05,10,2.82,14.02,16.883
1,25,2.78,14.71,109.95
0.95,25,2.78,14.71,109.4
0.9,25,2.78,14.71,108.65
0.8,25,2.78,14.71,106.47
0.7,25,2.78,14.71,104.43
0.6,25,2.78,14.71,102.07
0.5,25,2.78,14.71,98.822
0.4,25,2.78,14.71,96.163
0.3,25,2.78,14.71,93.64
0.2,25,2.78,14.71,89.021
0.15,25,2.78,14.71,82.206
0.1,25,2.78,14.71,55.461
0.05,25,2.78,14.71,31.194
0.02,25,2.78,14.71,19.937
0.01,25,2.78,14.71,14.181
1,10,2.78,14.71,103.81
0.95,10,2.78,14.71,103.78
0.9,10,2.78,14.71,103.17
0.8,10,2.78,14.71,101.3
