SOC,Temperature(C),Capacity,R_50%,SOP(W)
1,25,2.91,13.04,112.7814783
0.95,25,2.91,13.04,111.8757689
0.9,25,2.91,13.04,111.2665306
0.8,25,2.91,13.04,108.7202234
0.7,25,2.91,13.04,106.1245812
0.6,25,2.91,13.04,103.642953
0.5,25,2.91,13.04,100.4690494
0.4,25,2.91,13.04,97.9762153
0.3,25,2.91,13.04,95.95679988
0.2,25,2.91,13.04,93.28717032
0.15,25,2.91,13.04,90.80861692
0.1,25,2.91,13.04,83.76180522
0.05,25,2.91,13.04,51.54814884
0.02,25,2.91,13.04,28.52820071
0.01,25,2.91,13.04,16.87708283
1,10,2.91,13.04,108.2073752
0.95,10,2.91,13.04,107.7838275
0.9,10,2.91,13.04,107.286508
0.8,10,2.91,13.04,104.9005729
0.7,10,2.91,13.04,102.3505908
0.6,10,2.91,13.04,99.59292517
0.5,10,2.91,13.04,96.53379932
0.4,10,2.91,13.04,94.08184553
0.3,10,2.91,13.04,91.76559824
0.2,10,2.91,13.04,87.80379819
0.15,10,2.91,13.04,81.73583294
0.1,10,2.91,13.04,54.50634815
0.05,10,2.91,13.04,25.30431852
1,25,2.85,13.16,112.2947622
0.95,25,2.85,13.16,111.5200244
0.9,25,2.85,13.16,110.8716795
0.8,25,2.85,13.16,108.3309667
0.7,25,2.85,13.16,105.9768079
0.6,25,2.85,13.16,103.4753617
0.5,25,2.85,13.16,100.2480744
0.4,25,2.85,13.16,97.74417804
0.3,25,2.85,13.16,95.61777607
0.2,25,2.85,13.16,92.54929741
0.15,25,2.85,13.16,88.92387776
0.1,25,2.85,13.16,78.5086955
0.05,25,2.85,13.16,45.71093112
0.02,25,2.85,13.16,25.48688228
0.01,25,2.85,13.16,14.24198996
1,10,2.85,13.16,107.065636
0.95,10,2.85,13.16,106.7376955
0.9,10,2.85,13.16,106.2203425
0.8,10,2.85,13.16,104.0654473
0.7,10,2.85,13.16,101.8965778
0.6,10,2.85,13.16,98.79018983
0.5,10,2.85,13.16,95.71033551
0.4,10,2.85,13.16,93.20101916
0.3,10,2.85,13.16,90.44502779
0.2,10,2.85,13.16,82.66853663
0.15,10,2.85,13.16,60.60311842
0.1,10,2.85,13.16,33.90809041
1,25,2.79,14.02,111.1522108
0.95,25,2.79,14.02,110.4839539
0.9,25,2.79,14.02,109.7561449
0.8,25,2.79,14.02,107.3606916
0.7,25,2.79,14.02,105.2073706
0.6,25,2.79,14.02,102.6359541
0.5,25,2.79,14.02,99.45059337
0.4,25,2.79,14.02,96.94526359
0.3,25,2.79,14.02,94.6623214
0.2,25,2.79,14.02,90.92110254
0.15,25,2.79,14.02,85.43714942
0.1,25,2.79,14.02,68.32665933
0.05,25,2.79,14.02,38.21901187
0.02,25,2.79,14.02,22.43095708
0.01,25,2.79,14.02,13.2439899
1,10,2.79,14.02,105.5035932
0.95,10,2.79,14.02,105.3994543
0.9,10,2.79,14.02,104.7235546
0.8,10,2.79,14.02,102.6936779
0.7,10,2.79,14.02,100.7168118
0.6,10,2.79,14.02,97.91714073
0.5,10,2.79,14.02,94.85681278
0.4,10,2.79,14.02,92.26345882
0.3,10,2.79,14.02,89.01906547
0.2,10,2.79,14.02,80.96427331
0.15,10,2.79,14.02,62.45429432
0.1,10,2.79,14.02,36.73085431
0.05,10,2.79,14.02,18.8502789
1,25,2.72,14.84,110.1364422
0.95,25,2.72,14.84,109.546348
0.9,25,2.72,14.84,108.7617801
0.8,25,2.72,14.84,106.5357194
0.7,25,2.72,14.84,104.5015778
0.6,25,2.72,14.84,101.9005599
0.5,25,2.72,14.84,98.78125039
0.4,25,2.72,14.84,96.25797269
0.3,25,2.72,14.84,93.86073307
0.2,25,2.72,14.84,89.59977192
0.15,25,2.72,14.84,84.20198378
0.1,25,2.72,14.84,65.60182148
0.05,25,2.72,14.84,39.53533316
0.02,25,2.72,14.84,24.46113119
0.01,25,2.72,14.84,17.10313216
1,10,2.72,14.84,103.8232285
0.95,10,2.72,14.84,103.8460163
0.9,10,2.72,14.84,102.9880518
0.8,10,2.72,14.84,101.2332301
