SOC,PulseLength(s),Temperature(C),Voltage(V),True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V)
1.000025,2.002,-18.986,3.4727,32.298,3.270019629347953,5.223641454589088,-22.742114478469592,9.679988069994142
1.000025,2.002,1.2079,3.4567,68.786,6.7478260481788315,8.20578559155576,3.702297639189055,13.224988354268717
1.000025,2.003,25.301,3.5393,82.486,5.4523436366789975,9.169867399088107,21.55814246049267,7.915867893320974
1.000025,10.002,-8.5518,3.5412,42.148,7.140812001437298,0.2509235799219459,-10.08105188348447,8.589548662604066
1.000025,10.003,-8.4006,3.5362,41.955,7.637216821482289,-0.38306516931625084,-9.982405520620523,8.111136127993232
1.000025,10.002,-18.841,3.4672,24.664,4.325522318719305,-1.4765055872756057,-22.292658628082137,9.93508972122916
1.000025,9.911,-8.246,3.512,44.26,6.951927363420254,2.3114020758704283,-9.03299792247475,8.375152858382789
1.000025,9.982,-9.2811,3.5074,43.497,6.872766770575545,1.8851260669436305,-9.575968202935764,8.138883307658835
1.000025,30.003,25.425,3.4365,77.575,11.079514277919662,-6.819639006580692,19.427009854028,17.208234208504436
1.000025,30.002,10.886,3.4503,72.485,11.826763275968842,-6.864497582209297,11.54840578256175,17.11819505841122
1.000025,30.003,40.754,3.4044,81.174,9.169245245134226,-6.673581333442126,25.838660428847653,17.010763845435577
1.000025,2.003,40.514,3.5337,85.446,3.6093364734889475,7.656580893625505,25.354657355261732,5.8359845035080795
1.000025,2.002,-8.1687,3.4671,52.636,5.965682446099818,7.609339820940513,-9.165675037192413,10.420351605156903
1.000025,2.002,-8.2605,3.4711,52.635,5.778864084765664,7.4381336264847775,-9.47724894294166,10.248693986104335
1.000025,30.002,0.94498,3.4547,62.118,11.798064896166325,-6.7577053531399,4.71340198608581,15.529167578013148
1.000025,15.012,0.75362,3.455,63.545,10.10896123690065,-1.8308838309673592,4.639718229175778,13.018977825792971
1.000025,22.508,-19.069,3.5118,22.346,5.31207941460365,-3.7402879815991037,-21.365481663600075,4.78800052918552
1.000025,21.965,-18.084,3.5133,22.558,5.290681809596135,-3.6614236592082308,-21.168514661474617,4.979559646063717
1.000025,22.318,-19.115,3.5154,22.797,5.31207941460365,-3.681144204034936,-21.22226145765977,4.955679389313445
1.000025,10.003,10.879,3.4278,70.706,9.188566445736214,-1.8467029177956282,12.110401249764255,14.205116445217282
1.000025,10.002,0.83118,3.4817,60.325,9.296891775736585,0.7039925725152716,5.487062414080137,11.45012894228683
1.000016667,10.002,1.5272,3.4831,60.544,9.30570716701448,0.6683417826332152,4.32731821032823,11.533968981398502
1.000016667,2.002,1.3944,3.4604,68.618,6.72702340557822,8.227791269002482,3.7358583841787185,13.19022458407213
1.000016667,9.105,0.78593,3.4657,68.877,7.723654387416318,4.655534069766291,5.853750138230389,10.979599238230149
1.000016667,2.002,10.876,3.4505,76.323,6.4650294092623515,8.813288731581997,13.372921854922316,13.12361944894772
1.000016667,10.002,0.40469,3.4825,60.57,8.976937472596765,0.8424283534893766,-3.8989065759361257,12.400376724317903
1.000016667,10.003,-8.3371,3.5392,42.136,7.832828756211675,-0.29242819319712,-9.963906199418707,8.733768899912247
1.000016667,10.002,39.756,3.4768,82.908,5.727134789770934,0.10929698115447536,27.188708248533075,12.074091606612782
1.000016667,2.002,-19.013,3.469,31.443,3.7229840011912163,6.591271641778294,-23.11655842802371,9.224847417449347
1.000016667,11.351,-9.2156,3.5079,42.235,8.07148692771967,-0.28816780424211175,-9.96313691552612,7.452155946587445
1.000016667,10.003,25.853,3.541,78.732,7.370171618331224,0.6384287503920496,22.87690844719764,8.829520596822258
1.000016667,30.004,10.453,3.4456,72.229,11.781999897165225,-6.692425524904393,11.765680427448824,17.31100930087501
