SOC,Temperature(C),Capacity,R_50%,True_SOP(W),SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
1,25,2.91,13.04,112.7814783,20.56867238,3.766107847,3.649234345,7.964940699
1,25,2.71,15.67,109.14,22.07321755,4.262566673,0.670189307,4.840679001
1,10,2.82,14.02,105.12,23.28680569,-4.666034285,2.2225843,7.367063896
1,25,2.78,14.71,109.95,21.76962845,4.145841801,1.059455387,5.859575545
1,10,2.68,16.52,100.65,24.40216427,-5.191645865,1.242264832,3.26738936
1,10,2.78,14.71,103.81,23.67921049,-4.699845994,1.01790007,7.013926252
1,25,2.76,15.32,109.18,22.06146828,4.358389583,0.795876498,4.922558184
1,10,2.76,15.32,102.13,24.13385845,-4.954568228,0.705722616,5.773350794
1,10,2.71,15.67,102.21,24.21213157,-4.815022248,0.826268969,5.837861103
1,25,2.74,16.12,108.24,22.65266939,4.697609344,0.687702668,3.36099551
1,10,2.74,16.12,100.85,24.79153333,-5.348573633,0.516376245,3.492241315
1,25,2.71,17.26,106.98,23.02566197,4.72800243,0.325032861,1.484766614
1,10,2.71,17.26,98.91,25.21446543,-5.381152432,0.231413631,1.45038273
1,10,2.54,20.9,93.994,25.33296046,-5.821536125,-0.419108311,-2.231954887
1,10,2.72,14.84,103.8232285,22.99796798,-4.63673953,1.656896237,7.533765966
1,25,2.67,18.24,105.91,23.1772879,4.712827949,0.48959214,0.572385478
1,10,2.67,18.24,97.55,25.48188333,-5.400424288,0.497805929,0.430999325
1,25,2.65,19.12,104.99,23.30995996,4.961978862,0.400732821,-0.596614621
1,25,2.72,14.84,110.1364422,21.19726676,4.086867801,1.499929277,6.195172572
1,10,2.65,19.12,96.308,25.52771474,-5.745727716,0.310695954,-1.209591385
1,10,2.79,14.02,105.5035932,23.27119952,-4.463953409,2.542702683,7.498008445
1,25,2.58,20.28,103.79,23.28085273,4.953539448,0.070453243,-1.709555708
1,10,2.58,20.28,94.788,25.4319533,-5.770728598,-0.265275331,-2.123000911
1,25,2.54,20.9,103.16,23.28811247,4.986222543,-0.018461189,-1.753498932
1,25,2.65,17.57,106.9,22.7335046,4.644993564,0.807311266,2.205522265
1,25,2.82,14.02,110.77,21.51259486,4.088331726,2.178933126,6.313209013
1,10,2.86,13.52,105.81,22.95690225,-4.461466269,3.192744424,7.658854054
1,10,2.65,17.57,99.263,24.99437891,-5.323260377,0.837841801,2.331998149
1,25,2.42,22.58,93.688,24.72388927,3.165743598,-3.277640831,-7.800587877
1,10,2.42,22.58,92.072,26.23246609,-3.599309969,-1.692449529,-5.356580162
1,25,2.42,23.97,100.22,24.59238016,4.701267192,-2.227245093,-4.229423219
1,10,2.48,21.32,93.688,25.30685137,-5.855104787,-0.549064171,-2.265593844
1,10,2.42,23.97,90.613,26.5987996,-5.567061424,-1.791058236,-5.288690569
1,25,2.38,25.61,98.41,24.17313076,4.940300309,-1.905220326,-5.371252915
1,25,2.48,21.32,102.84,23.2789666,5.006523623,-0.090874899,-1.817724857
1,10,2.38,25.61,88.671,26.2842697,-5.855706247,-1.775488626,-6.604111561
1,25,2.36,27.18,96.97,24.26412605,5.139581424,-3.077879396,-5.953784866
1,10,2.58,19.76,95.672,25.48465843,-5.748214148,-0.101916045,-1.076386303
1,10,2.36,27.18,86.919,26.34289024,-6.101915691,-3.404452189,-7.177484935
1,25,2.33,28.63,95.422,24.44038965,5.050868902,-4.092052062,-6.642901714
1,25,2.58,19.76,104.5,23.29970603,4.94109218,0.175348947,-0.697902812
1,10,2.33,28.63,85.214,26.49173241,-5.987790065,-4.201595375,-7.729141132
1,25,2.98,13.31,112.7579992,20.75951475,3.782987591,3.707538864,7.473797695
1,10,2.61,18.56,97.746,25.12495051,-5.612857081,-0.178066843,0.984212575
1,10,2.98,13.31,108.264973,22.2557632,-4.347430677,4.272482429,8.785076265
1,25,2.92,13.02,112.2290251,21.14937674,3.908832381,3.13017026,6.83966216
1,25,2.61,18.56,105.74,22.83647423,4.874302251,0.239773469,1.067312173
1,10,2.92,13.02,107.3460507,22.82016996,-4.476807346,3.651011843,8.069772284
1,25,2.86,13.52,111.58,21.34512042,3.89159171,2.778737655,6.442232372
1,25,2.79,14.02,111.1522108,21.5383289,3.92543717,2.134076092,6.255759456
1,25,2.68,16.52,108.09,22.26008202,4.557249366,1.141485035,3.066038291
1,25,2.54,21.78,102.27,23.93078967,4.814858875,-0.026976233,-3.349487604
1,25,2.85,13.16,112.2947622,21.03053796,3.827453464,2.355864061,7.266975417
1,25,2.5,24.22,99.31016629,24.64133207,5.027938589,-0.994473333,-6.335497971
1,25,2.5,22.73,101.37,24.06944013,4.943610738,-0.813147131,-3.486349544
1,10,2.54,21.78,92.738,25.784185,-5.651707817,-0.463371836,-3.486751589
1,10,2.91,13.04,108.2073752,22.08206224,-4.316534818,4.017766083,9.533644576
1,10,2.5,24.22,89.35839439,26.55566568,-5.972221791,-1.139842701,-7.022609224
1,10,2.85,13.16,107.065636,22.85410604,-4.342349565,2.785156954,8.802385924
1,10,2.5,22.73,91.92,25.94643788,-5.855654588,-0.952878646,-3.972565742
0.95,25,2.42,22.58,93.552,24.43782647,3.132514366,-3.263334318,-7.769643738
0.95,25,2.71,17.26,106.55,22.68290222,4.665869289,0.30343916,1.499202771
0.95,25,2.92,13.02,111.5207977,20.63276966,3.84121553,3.075576024,6.705799015
0.95,10,2.98,13.31,107.8524354,21.91473639,-4.261619752,4.239098808,8.692505509
0.95,25,2.71,15.67,108.61,21.71602444,4.18694192,0.648595606,4.840681801
0.95,25,2.91,13.04,111.8757689,20.025952,3.693988079,3.594640109,7.804964253
0.95,25,2.98,13.31,111.6447608,20.26630314,3.716613725,3.665963184,7.350311461
0.95,10,2.61,18.56,97.765,24.85417769,-5.569230237,-0.184233804,0.94178008
0.95,10,2.71,17.26,98.677,25.01425245,-5.300738794,0.239036731,1.465071608
0.95,10,2.91,13.04,107.7838275,21.70458552,-4.223410928,3.981534653,9.407471726
0.95,25,2.78,14.71,109.4,21.41262249,4.074992806,1.038048835,5.852125833
0.95,10,2.72,14.84,103.8460163,22.8139844,-4.53915475,1.664519337,7.564684243
0.95,25,2.58,19.76,104.07,23.01113255,4.907862949,0.213174945,-0.692988845
0.95,10,2.74,16.12,100.54,24.61075704,-5.25706709,0.513332498,3.529581211
0.95,25,2.61,18.56,105.33,22.48884533,4.841073019,0.253423206,1.041284162
