,SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W)
SOC,1.0,-0.12636220693807623,-0.004925380954876079,0.9871411661339795,-0.13731100026580634,0.1066690742073751,0.12466122084690809,0.12566275323986698,0.1267796121567178,0.7250105390537084
PulseLength(s),-0.12636220693807623,1.0,-0.020665906845057695,-0.06118941084494195,0.38873702580267494,-0.3850035825098792,-0.38581633106462443,-0.40294163970964614,-0.406182885953227,-0.20241196086230018
Temperature(C),-0.004925380954876079,-0.020665906845057695,1.0,-0.012499196174061988,-0.39499500929982023,0.41714768569016775,0.44613544785458714,0.4406652848174374,0.43792818832250174,0.5950265203045455
Voltage(V),0.9871411661339795,-0.06118941084494195,-0.012499196174061988,1.0,-0.08954132973090219,0.05781679339838257,0.07709155684263098,0.07881913502842931,0.08019261511441055,0.7215601093677061
Current(A),-0.13731100026580634,0.38873702580267494,-0.39499500929982023,-0.08954132973090219,1.0,-0.9533557917419542,-0.9404519952988091,-0.9283675377402401,-0.9281205261701008,-0.5062856393756562
AvgCurrent_5s,0.1066690742073751,-0.3850035825098792,0.41714768569016775,0.05781679339838257,-0.9533557917419542,1.0,0.985279855689328,0.9722529388988121,0.9725863973823311,0.5048523057314396
AvgCurrent_10s,0.12466122084690809,-0.38581633106462443,0.44613544785458714,0.07709155684263098,-0.9404519952988091,0.985279855689328,1.0,0.9866336471919565,0.9854331221714366,0.5298290203854443
AvgCurrent_20s,0.12566275323986698,-0.40294163970964614,0.4406652848174374,0.07881913502842931,-0.9283675377402401,0.9722529388988121,0.9866336471919565,1.0,0.9988769189305857,0.5328061182110021
AvgCurrent_50s,0.1267796121567178,-0.406182885953227,0.43792818832250174,0.08019261511441055,-0.9281205261701008,0.9725863973823311,0.9854331221714366,0.9988769189305857,1.0,0.5331764825834312
SOP(W),0.7250105390537084,-0.20241196086230018,0.5950265203045455,0.7215601093677061,-0.5062856393756562,0.5048523057314396,0.5298290203854443,0.5328061182110021,0.5331764825834312,1.0
