,SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W)
SOC,1.0,0.058396166483567095,0.002867935973172515,0.9866350984546246,-0.07693405996189571,0.0540779906122034,0.050620552738175895,0.056667891172074505,0.05986159132209677,0.6742396567233923
PulseLength(s),0.058396166483567095,1.0,0.09643017074810963,0.1171546240521721,0.3584157747093617,-0.3769667824975429,-0.3791236566363986,-0.38050230708591637,-0.3775073144953776,0.06906627815287887
Temperature(C),0.002867935973172515,0.09643017074810963,1.0,0.019450274570075237,-0.4983223285809131,0.5234847785872085,0.5317743866928623,0.5425618732505904,0.5441255770752755,0.6328638553367423
Voltage(V),0.9866350984546246,0.1171546240521721,0.019450274570075237,1.0,-0.06426980211396886,0.039737923821873876,0.03655343745482307,0.04093881974425164,0.0435027288456441,0.6802910992489289
Current(A),-0.07693405996189571,0.3584157747093617,-0.4983223285809131,-0.06426980211396886,1.0,-0.9643083568880136,-0.9479793033096527,-0.9245945248213687,-0.9015131898587594,-0.4846977233496098
AvgCurrent_5s,0.0540779906122034,-0.3769667824975429,0.5234847785872085,0.039737923821873876,-0.9643083568880136,1.0,0.9972041368886623,0.9804907247768732,0.9611138815700334,0.4920417716812792
AvgCurrent_10s,0.050620552738175895,-0.3791236566363986,0.5317743866928623,0.03655343745482307,-0.9479793033096527,0.9972041368886623,1.0,0.9888934131397538,0.9729769241320332,0.49413242725883444
AvgCurrent_20s,0.056667891172074505,-0.38050230708591637,0.5425618732505904,0.04093881974425164,-0.9245945248213687,0.9804907247768732,0.9888934131397538,1.0,0.9964675620810811,0.5069527716653961
AvgCurrent_50s,0.05986159132209677,-0.3775073144953776,0.5441255770752755,0.0435027288456441,-0.9015131898587594,0.9611138815700334,0.9729769241320332,0.9964675620810811,1.0,0.5093656747902849
SOP(W),0.6742396567233923,0.06906627815287887,0.6328638553367423,0.6802910992489289,-0.4846977233496098,0.4920417716812792,0.49413242725883444,0.5069527716653961,0.5093656747902849,1.0
