SOC_level,SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,SHAP_test,fold
SOC_100,0.9998703309423077,12.412769230769227,16.405054807692306,4.183234615384615,0.05811113500000001,1.3653846153846154,1.0026388968950584,0.28985681635074656,0.024252360392151437,0.5196495335249124,0.40958221519661425,0.209421185160396,0.03243778796168044,2.0
SOC_95,0.9499446949692308,12.587153846153846,14.032538153846154,4.065567692307692,0.5551498202923076,1.2923076923076924,0.8888048215169929,0.3115441727543859,0.02218904808276476,0.46790675199158993,0.39452524250093846,0.18708762721767502,0.027821118013861664,2.0
SOC_90,0.8999719605471698,13.700603773584906,14.541602830188683,4.035858490566038,0.6562717559433963,1.3773584905660377,0.9522163262872265,0.30889495749909535,0.021969641440598518,0.4619256592593331,0.37787916375231884,0.18802951664308015,0.03269668504015876,2.0
SOC_80,0.7999843543617022,13.662148936170212,14.64336936170213,3.9391723404255305,0.8270484017234043,1.425531914893617,0.8200595720473377,0.276151079829656,0.024557940928238205,0.46016501790277925,0.31496580983348627,0.19433544482145354,0.034217355889862675,2.0
SOC_70,0.7000093433571429,13.145595238095238,14.895851904761903,3.8428714285714287,0.918231171952381,1.4761904761904763,0.8151126568080662,0.2167900987867116,0.03148557796138838,0.4948333152748057,0.22954028332497858,0.14766050023901264,0.03600092722790405,2.0
SOC_60,0.5999978439074075,16.891462962962958,14.955913148148149,3.7585888888888883,0.7447052935,1.3703703703703705,0.6790142984596218,0.14475266182869542,0.030326782328031387,0.5457702950874873,0.12951404702690153,0.11407070198574933,0.029223349013417544,2.0
SOC_50,0.4999938739400001,16.96238,14.404563000000001,3.667332,0.80619559878,1.4,0.6715784752679717,0.07230392287026625,0.03078090631819796,0.5215246164629586,0.07126539837541059,0.1079733714392176,0.02424298772038892,2.0
SOC_40,0.3999738181698113,17.172792452830187,13.71604358490566,3.5884735849056604,0.7564739943773586,1.3773584905660377,0.6656896152546328,0.11782585409060252,0.032037423407759974,0.47192609649554607,0.15287648553538297,0.09965528195794181,0.01904269522829157,2.0
SOC_30,0.29984356134482754,17.450862068965513,13.524477068965519,3.515203448275862,0.6969186600000001,1.3448275862068966,0.7595863157303733,0.16723767324440095,0.026148360894946786,0.44177057276566206,0.3288995479311842,0.10129404009745359,0.011538328798006063,2.0
SOC_20,0.1999914376551724,16.14018965517241,12.719153275862068,3.4234948275862065,0.7184800717068964,1.3448275862068966,0.9143755837639004,0.4482521116686483,0.02764039217341884,0.3476157006131413,0.48187631946309983,0.08600627040493518,0.015947254999412287,2.0
SOC_15,0.14999969261538462,16.498169230769232,12.692021846153848,3.376298461538462,0.6131316522307693,1.2923076923076924,1.051362704105627,0.6104258679978711,0.027037954290755666,0.2761668951204136,0.5717640362695003,0.06443829100605887,0.017722437234308858,2.0
SOC_10,0.10002153183720928,14.875093023255811,14.725344418604653,3.267774418604651,0.5841566366976744,1.4186046511627908,1.2377685621904042,0.7635290706401615,0.032287467532130604,0.2968020482203885,0.6836372578719652,0.07668924459686696,0.021687991587596753,2.0
SOC_5,0.04998857561111111,11.551333333333336,20.688188888888888,3.116422222222222,0.1962121208888889,1.5,1.328119727175317,0.7646346856025694,0.03451514272019267,0.3997021524057749,0.7442187793611083,0.09530111450689017,0.02599227631593951,2.0
SOC_2,0.01999759457142857,8.85957142857143,19.67797142857143,3.2671571428571426,0.0,2.0,1.4316370979108122,0.6882557197269384,0.024934620503336193,0.4157586718157732,0.6845407329606158,0.1556725765209246,0.04047373295295984,2.0
