SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_10s,SOP(W)
1.000000026,30.002,25.575,4.1568,0,102.39
0.900000026,30.003,27.726,4.071,0,100.45
0.800000026,30.002,27.702,3.9913,0,98.723
0.69999618,30.003,27.618,3.9069,0,96.594
0.600000026,30.002,27.581,3.8096,0,93.574
0.500000026,30.002,27.745,3.7168,0,89.91
0.400000026,30.001,27.822,3.643,0,86.528
0.300000026,30.001,27.682,3.5852,0,81.859
0.200000026,30.002,27.558,3.5043,0,65.808
0.100000026,30.001,27.84,3.3998,0,31.743
1.000000022,2.002,25.756,4.1557,0,104.88
0.950176946,2.002,26.408,4.0351,0.99989,104.92
0.900161561,2.002,26.139,4.0021,1.000123636,104.59
0.800146176,2.003,26.082,3.9237,0.999833,103.14
0.700150022,2.003,26.705,3.8542,0.99984,101.41
0.600115407,2.001,26.196,3.7553,1.000118182,98.914
0.500153869,2.002,26.075,3.6677,1.000124545,96.143
0.400153869,2.002,26.069,3.5949,1.00012,93.59
0.300153869,2.004,25.966,3.5291,1.000048182,90.634
0.20019233,2.002,26.6,3.4439,0.999898182,84.92
0.150153869,2.002,26.948,3.3817,0.999905455,79.622
0.100153869,2.003,26.666,3.3131,0.99987,63.803
0.050000022,2.002,27.278,3.2573,0.818118182,44.043
0.020000022,2.002,27.702,3.2307,0,34.577
1.000000088,10.001,39.394,4.1276,0,107.37
0.950191862,10.001,41.578,4.0496,1.000032,106.69
0.900000088,10.002,42.91,4.039,0.181836364,106.24
0.800201356,10.002,41.193,3.9375,0.99988,104.41
0.700133001,10.002,41.636,3.8621,1.000112,102.29
0.600197559,10.002,41.67,3.7615,0.999868182,99.492
0.500170976,10.002,41.062,3.6741,1.000039,96.69
0.400144393,10.002,41.325,3.6038,0.999904545,94.157
0.300193761,10.002,40.977,3.5355,1.0001,91.241
0.200091228,10.002,41.341,3.4458,0.999842,85.68
0.150001986,10.002,42.761,3.4165,0,81.557
0.099988695,10.003,42.627,3.3837,0,69.593
0.050013379,10.002,42.904,3.3134,0,43.891
0.020012999,10.003,42.758,3.1447,0,25.226
1.000000111,10.002,-8.0474,4.135,0,72.101
0.950000111,10.003,-7.063,4.0469,0,73.405
0.899995742,10.002,-7.1402,3.9806,0,72.358
0.799995742,10.003,-7.1778,3.87,0,66.967
0.699991373,10.003,-7.1122,3.7802,0,61.358
0.599991373,10.002,-7.2421,3.6851,0,54.759
0.500000111,10.003,-7.096,3.618,0,45.937
0.400000111,10.001,-7.2224,3.561,0,35.365
0.300000111,10.003,-7.37,3.5104,0,24.815
0.200000111,10.003,-7.2705,3.4607,0,16.885
0.149978267,10.002,-7.2743,3.4322,0,13.379
0.100000111,10.003,-7.201,3.4051,0,10.842
0.049978267,10.002,-7.2905,3.3759,0,8.4158
0.019965161,10.002,-7.1039,3.3479,0,7.138
1.000000086,10.001,1.2544,4.1379,0,85.272
0.94999802,10.003,2.8248,4.0639,0,85.512
0.900000086,10.001,2.8199,4.0117,0,85.245
0.799995953,10.003,2.87,3.9015,0,83.525
0.699995953,10.002,2.8241,3.8139,0,81.501
0.599995953,10.003,2.7072,3.7191,0,78.948
0.499979419,10.001,2.778,3.6384,0,75.089
0.39999182,10.003,2.8287,3.5792,0,61.822
0.30000422,10.003,2.7227,3.519,0,43.256
0.199975286,10.002,2.8426,3.4506,0,26.856
0.150002153,10.002,2.8281,3.4203,0,20.566
0.099987686,10.003,2.3884,3.3904,0,15.654
0.049973219,10.003,2.7543,3.3495,0,11.269
0.020005873,10.002,2.6979,3.3119,0,9.1985
1.000000088,10.002,26.2,4.1558,0,102.96
0.950000088,10.002,27.814,4.0783,0,102.86
0.899996242,10.002,27.699,4.0613,0,102.4
0.799996242,10.002,27.493,3.9268,1.000072727,100.41
0.700184704,10.003,26.68,3.8541,1.000145455,98.471
0.600000088,10.003,27.159,3.7709,0.909026364,95.775
0.500153935,10.002,26.856,3.6662,0.999862727,92.781
0.400115473,10.003,26.259,3.5937,0.999882727,89.868
0.300000088,10.003,27.172,3.528,1.000154545,85.949
0.200000088,10.002,27.283,3.4665,0.727194545,77.981
0.150000088,10.002,27.884,3.4358,0,64.648
0.100000088,10.002,27.818,3.3897,0,42.748
0.050000088,10.002,27.798,3.3303,0,26.938
0.020000088,10.003,27.504,3.2599,0,18.658
1.000000097,10.002,-18.568,4.136,0,40.723
0.950000097,10.002,-17.091,4.0172,0,41.726
0.900000097,10.002,-17.063,3.9487,0,40.848
0.799995414,10.002,-17.113,3.8412,0,37.952
0.699995414,10.002,-17.098,3.7543,0,34.323
0.599995414,10.002,-17.223,3.6813,0,30.112
0.500000097,10.002,-17.313,3.6251,0,25.413
0.400009464,10.002,-17.2,3.5725,0,20.359
0.299971997,10.003,-17.069,3.5298,0,15.367
0.199981364,10.002,-17.108,3.4866,0,11.309
0.150009464,10.002,-17.233,3.4637,0,9.5856
0.09999073,10.002,-17.161,3.4396,0,7.9611
0.049971997,10.003,-17.393,3.4155,0,6.6827
0.019998224,10.003,-17.092,3.3932,0,5.9306
1.000000023,10.001,11.066,4.1395,0,93.653
0.949998092,10.001,12.928,4.0698,0,93.925
0.899996162,10.002,12.792,4.0306,0,93.411
0.799996162,10.003,12.84,3.9106,0,91.681
0.699996162,10.003,12.722,3.8326,0,89.493
0.599984578,10.001,12.807,3.7227,0,86.68
0.499980717,10.001,12.785,3.6281,0,83.338
0.399976856,10.002,12.786,3.5786,0,79.337
0.299972995,10.002,12.802,3.5167,0,63.154
0.199969134,10.003,12.881,3.433,0,36.81
0.149967203,10.002,12.877,3.3979,0,26.316
0.100003884,10.002,12.579,3.3584,0,18.29
0.050001953,10.002,12.841,3.2806,0,11.663
0.020000795,10.002,12.888,3.1818,0,8.1414
1,10.003,0.62361,4.1911,0,99.794
0.95069791,10.002,1.7753,3.8583,5.998754545,99.404
0.900696173,10.001,2.3268,3.8522,6.00119,99.026
0.800804084,10.003,2.5018,3.7633,5.99898,97.251
0.700758836,10.002,3.2448,3.6921,6.000772727,95.229
0.600786686,10.001,3.2405,3.6155,6.000909091,92.481
0.500783209,10.002,2.9739,3.5264,6.00072,89.703
0.400779733,10.002,3.147,3.4327,6.000754545,86.01
0.300776258,10.001,3.1931,3.3532,5.99862,81.207
0.200772781,10.002,4.0431,3.2474,6.000772727,60.92
0.150997298,10.002,3.3451,3.199,6.000681818,42.317
0.100734499,10.003,3.1408,2.8621,6.000945455,17.405
1,10.001,0.74664,4.1905,0,99.374
