SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W)
1.000000026,30.002,25.575,4.1568,0,0,0,0,0,102.39
0.900000026,30.003,27.726,4.071,0,0,0,0,0,100.45
0.800000026,30.002,27.702,3.9913,0,0,0,0,0,98.723
0.69999618,30.003,27.618,3.9069,0,0,0,0,0,96.594
0.600000026,30.002,27.581,3.8096,0,0,0,0,0,93.574
0.500000026,30.002,27.745,3.7168,0,0,0,0,0,89.91
0.400000026,30.001,27.822,3.643,0,0,0,0,0,86.528
0.300000026,30.001,27.682,3.5852,0,0,0,0,0,81.859
0.200000026,30.002,27.558,3.5043,0,0,0,0,0,65.808
0.100000026,30.001,27.84,3.3998,0,0,0,0,0,31.743
1.000000022,2.002,25.756,4.1557,0,0,0,0,0,104.88
0.950176946,2.002,26.408,4.0351,-0.99993,0.999872,0.99989,0.999863,0.999857059,104.92
0.900161561,2.002,26.139,4.0021,-1,1.000076667,1.000123636,1.000121905,1.000114902,104.59
0.800146176,2.003,26.082,3.9237,-0.99991,0.999843333,0.999833,0.9998555,0.999871765,103.14
0.700150022,2.003,26.705,3.8542,-0.99982,0.999861667,0.99984,0.999873333,0.9998864,101.41
0.600115407,2.001,26.196,3.7553,-1.0002,1.000116667,1.000118182,1.000105714,1.000121373,98.914
0.500153869,2.002,26.075,3.6677,-1.0001,1.000095,1.000124545,1.000107143,1.000112941,96.143
0.400153869,2.002,26.069,3.5949,-1.0001,1.00012,1.00012,1.000112381,1.000123137,93.59
0.300153869,2.004,25.966,3.5291,-1,1.000076667,1.000048182,1.000091905,1.0000888,90.634
0.20019233,2.002,26.6,3.4439,-0.99997,0.999896667,0.999898182,0.9999,0.999906275,84.92
0.150153869,2.002,26.948,3.3817,-0.99989,0.999905,0.999905455,0.99988619,0.99988549,79.622
0.100153869,2.003,26.666,3.3131,-0.99993,0.999873333,0.99987,0.999869048,0.999872157,63.803
0.050000022,2.002,27.278,3.2573,0,0.66662,0.818118182,0.904672857,0.960683725,44.043
0.020000022,2.002,27.702,3.2307,0,0,0,0,0,34.577
1.000000088,10.001,39.394,4.1276,0,0,0,0,0,107.37
0.950191862,10.001,41.578,4.0496,-1.0001,1.000024,1.000032,1.000056,1.0000714,106.69
0.900000088,10.002,42.91,4.039,0,0,0.181836364,0.571469048,0.82359,106.24
0.800201356,10.002,41.193,3.9375,-0.99981,0.999886667,0.99988,0.999855238,0.999868627,104.41
0.700133001,10.002,41.636,3.8621,-1.0002,1.000064,1.000112,1.000111,1.0000948,102.29
0.600197559,10.002,41.67,3.7615,-0.9998,0.99985,0.999868182,0.999881,0.999861569,99.492
0.500170976,10.002,41.062,3.6741,-1,1.00002,1.000039,1.000072,1.000081569,96.69
0.400144393,10.002,41.325,3.6038,-0.99978,0.999826667,0.999904545,0.99989,0.999886275,94.157
0.300193761,10.002,40.977,3.5355,-1,1.000083333,1.0001,1.000104762,1.000110588,91.241
0.200091228,10.002,41.341,3.4458,-0.99994,0.999832,0.999842,0.9998415,0.999842745,85.68
0.150001986,10.002,42.761,3.4165,0,0,0,0,0,81.557
0.099988695,10.003,42.627,3.3837,0,0,0,0,0,69.593
0.050013379,10.002,42.904,3.3134,0,0,0,0,0,43.891
0.020012999,10.003,42.758,3.1447,0,0,0,0,0,25.226
1.000000111,10.002,-8.0474,4.135,0,0,0,0,0,72.101
0.950000111,10.003,-7.063,4.0469,0,0,0,0,0,73.405
0.899995742,10.002,-7.1402,3.9806,0,0,0,0,0,72.358
0.799995742,10.003,-7.1778,3.87,0,0,0,0,0,66.967
0.699991373,10.003,-7.1122,3.7802,0,0,0,0,0,61.358
0.599991373,10.002,-7.2421,3.6851,0,0,0,0,0,54.759
0.500000111,10.003,-7.096,3.618,0,0,0,0,0,45.937
0.400000111,10.001,-7.2224,3.561,0,0,0,0,0,35.365
0.300000111,10.003,-7.37,3.5104,0,0,0,0,0,24.815
0.200000111,10.003,-7.2705,3.4607,0,0,0,0,0,16.885
0.149978267,10.002,-7.2743,3.4322,0,0,0,0,0,13.379
0.100000111,10.003,-7.201,3.4051,0,0,0,0,0,10.842
0.049978267,10.002,-7.2905,3.3759,0,0,0,0,0,8.4158
0.019965161,10.002,-7.1039,3.3479,0,0,0,0,0,7.138
1.000000086,10.001,1.2544,4.1379,0,0,0,0,0,85.272
0.94999802,10.003,2.8248,4.0639,0,0,0,0,0,85.512
0.900000086,10.001,2.8199,4.0117,0,0,0,0,0,85.245
0.799995953,10.003,2.87,3.9015,0,0,0,0,0,83.525
0.699995953,10.002,2.8241,3.8139,0,0,0,0,0,81.501
0.599995953,10.003,2.7072,3.7191,0,0,0,0,0,78.948
0.499979419,10.001,2.778,3.6384,0,0,0,0,0,75.089
0.39999182,10.003,2.8287,3.5792,0,0,0,0,0,61.822
0.30000422,10.003,2.7227,3.519,0,0,0,0,0,43.256
0.199975286,10.002,2.8426,3.4506,0,0,0,0,0,26.856
0.150002153,10.002,2.8281,3.4203,0,0,0,0,0,20.566
0.099987686,10.003,2.3884,3.3904,0,0,0,0,0,15.654
0.049973219,10.003,2.7543,3.3495,0,0,0,0,0,11.269
0.020005873,10.002,2.6979,3.3119,0,0,0,0,0,9.1985
1.000000088,10.002,26.2,4.1558,0,0,0,0,0,102.96
0.950000088,10.002,27.814,4.0783,0,0,0,0,0,102.86
0.899996242,10.002,27.699,4.0613,0,0,0,0,0,102.4
0.799996242,10.002,27.493,3.9268,-1,1.000083333,1.000072727,1.000104762,1.000128627,100.41
0.700184704,10.003,26.68,3.8541,-1,1.00015,1.000145455,1.000142857,1.000130196,98.471
0.600000088,10.003,27.159,3.7709,0,0.83328,0.909026364,0.95227381,0.980278235,95.775
0.500153935,10.002,26.856,3.6662,-0.99981,0.999873333,0.999862727,0.999850952,0.999856667,92.781
0.400115473,10.003,26.259,3.5937,-0.99986,0.999881667,0.999882727,0.9998735,0.999877255,89.868
0.300000088,10.003,27.172,3.528,-1.0002,1.00015,1.000154545,1.000130952,1.000116078,85.949
0.200000088,10.002,27.283,3.4665,0,0.499976667,0.727194545,0.857049524,0.941082157,77.981
0.150000088,10.002,27.884,3.4358,0,0,0,0,0,64.648
0.100000088,10.002,27.818,3.3897,0,0,0,0,0,42.748
0.050000088,10.002,27.798,3.3303,0,0,0,0,0,26.938
0.020000088,10.003,27.504,3.2599,0,0,0,0,0,18.658
1.000000097,10.002,-18.568,4.136,0,0,0,0,0,40.723
0.950000097,10.002,-17.091,4.0172,0,0,0,0,0,41.726
0.900000097,10.002,-17.063,3.9487,0,0,0,0,0,40.848
0.799995414,10.002,-17.113,3.8412,0,0,0,0,0,37.952
0.699995414,10.002,-17.098,3.7543,0,0,0,0,0,34.323
0.599995414,10.002,-17.223,3.6813,0,0,0,0,0,30.112
0.500000097,10.002,-17.313,3.6251,0,0,0,0,0,25.413
0.400009464,10.002,-17.2,3.5725,0,0,0,0,0,20.359
0.299971997,10.003,-17.069,3.5298,0,0,0,0,0,15.367
0.199981364,10.002,-17.108,3.4866,0,0,0,0,0,11.309
0.150009464,10.002,-17.233,3.4637,0,0,0,0,0,9.5856
0.09999073,10.002,-17.161,3.4396,0,0,0,0,0,7.9611
0.049971997,10.003,-17.393,3.4155,0,0,0,0,0,6.6827
0.019998224,10.003,-17.092,3.3932,0,0,0,0,0,5.9306
1.000000023,10.001,11.066,4.1395,0,0,0,0,0,93.653
0.949998092,10.001,12.928,4.0698,0,0,0,0,0,93.925
