SOC,Temperature(C),Capacity,R_50%,True_SOP(W),SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
1.0,25,2.91,13.04,112.7814783,24.934914,3.7063074,3.0730715,7.451015
1.0,10,2.36,27.18,86.919,32.088974,-5.659956,-3.1719077,-9.431259
1.0,10,2.38,25.61,88.671,31.862366,-5.552097,-1.8919342,-8.779013
1.0,10,2.42,23.97,90.613,32.185,-5.3567467,-2.0120313,-7.39906
1.0,25,2.79,14.02,111.1522108,26.16049,4.020771,1.8273635,5.912219
1.0,10,2.54,21.78,92.738,31.34268,-5.286743,-1.0109637,-5.14462
1.0,10,2.85,13.16,107.065636,28.172777,-4.598124,1.9697763,7.9621053
1.0,25,2.5,22.73,101.37,29.368656,5.089677,-0.72936636,-5.348312
1.0,10,2.33,28.63,85.214,32.270573,-5.688924,-4.3939824,-9.984237
1.0,25,2.33,28.63,95.422,29.6769,5.390643,-4.159398,-8.32481
1.0,25,2.42,23.97,100.22,29.920298,5.0584736,-2.1714172,-6.0403113
1.0,25,2.54,20.9,103.16,28.53867,5.14616,-0.11635241,-3.1224773
1.0,10,2.79,14.02,105.5035932,28.357986,-4.4004493,1.9520148,6.874457
1.0,25,2.71,15.67,109.14,26.90942,4.418183,0.37538064,4.081559
1.0,25,2.54,21.78,102.27,29.244602,4.978129,-0.0695091,-5.0823174
1.0,10,2.54,20.9,93.994,30.856333,-5.479414,-0.95532763,-3.5454793
1.0,10,2.65,19.12,96.308,31.057781,-5.216359,-0.12808093,-2.5905724
1.0,25,2.58,20.28,103.79,28.53469,5.0469112,0.022796342,-3.032175
1.0,10,2.72,14.84,103.8232285,28.165594,-4.535645,0.62111944,6.8853927
1.0,10,2.58,20.28,94.788,30.93736,-5.385302,-0.60988444,-3.3945303
1.0,25,2.65,19.12,104.99,28.633642,4.881211,0.38033375,-2.425054
1.0,25,2.68,16.52,108.09,27.269026,4.6003075,0.6795505,2.4192452
1.0,10,2.67,18.24,97.55,30.69461,-5.165594,-0.17699605,-0.6873774
1.0,25,2.98,13.31,112.7579992,25.292582,3.6647072,2.952248,7.1157646
1.0,25,2.72,14.84,110.1364422,25.913107,4.1738667,0.7655689,5.902276
1.0,25,2.38,25.61,98.41,29.407362,5.256068,-1.8347458,-7.296869
1.0,10,2.71,15.67,102.21,29.206137,-4.7700763,0.14856899,4.6636987
1.0,10,2.91,13.04,108.2073752,26.936346,-4.0708356,3.783939,8.653407
1.0,25,2.48,21.32,102.84,28.34058,5.1009984,-0.14491525,-3.3364892
1.0,25,2.5,24.22,99.31016629,30.099642,5.3847747,-1.0924238,-8.258099
1.0,10,2.82,14.02,105.12,28.557594,-4.522632,1.2739874,6.7921047
1.0,10,2.74,16.12,100.85,30.217804,-5.0766807,-0.21449861,2.6729662
1.0,25,2.71,17.26,106.98,28.464396,4.7079806,0.17326775,0.16721205
1.0,25,2.65,17.57,106.9,27.685707,4.7718625,0.8462018,0.79395604
1.0,25,2.74,16.12,108.24,27.707342,4.693213,0.16183743,2.6389384
1.0,10,2.61,18.56,97.746,30.265568,-5.2607617,0.045982238,-0.681079
1.0,25,2.61,18.56,105.74,27.861689,4.9262204,0.58044046,-0.53662634
1.0,25,2.76,15.32,109.18,27.097,4.41701,0.0424267,4.2838535
1.0,10,2.65,17.57,99.263,29.999746,-5.104513,0.4278499,0.8496338
1.0,25,2.42,22.58,93.688,30.054037,3.0454054,-3.529228,-9.852212
1.0,25,2.67,18.24,105.91,28.365509,4.832189,0.18493402,-0.62905246
