colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,val_rmse,val_r2,best_iteration,best_n_estimators,n_leaves,n_splits,n_nodes
0.75,0.3,0.03,4,3,1,0.8,4.557131935006933,0.9823832707600242,861,862,11631,10719,22350
0.75,0.0,0.03,4,3,5,0.8,4.610345705256066,0.9819694464832057,995,996,13001,12001,25002
0.75,0.0,0.05,4,3,1,0.8,4.644990103699375,0.9816974474999025,549,550,8176,7576,15752
0.75,0.1,0.05,4,3,1,0.8,4.684319506581896,0.9813861978051747,570,571,8294,7673,15967
0.75,0.1,0.03,4,3,5,0.8,4.693865901378786,0.9813102526138331,853,854,11506,10602,22108
0.75,0.0,0.03,4,3,1,0.8,4.69797617629785,0.9812775062013863,563,564,8367,7753,16120
0.75,0.3,0.05,4,3,5,0.8,4.711675180188656,0.9811681597743953,721,722,9123,8351,17474
0.75,0.3,0.05,4,3,1,0.8,4.7117944339818765,0.9811672064842322,548,549,7415,6816,14231
0.75,0.1,0.03,4,3,1,0.8,4.715903376974501,0.9811343457059928,582,583,8524,7891,16415
0.75,0.0,0.05,4,3,5,0.8,4.724833667655126,0.9810628280006097,723,724,10099,9325,19424
0.75,0.1,0.05,4,3,5,0.8,4.730486749360141,0.9810174856962093,723,724,9834,9060,18894
0.75,0.0,0.03,4,3,10,0.8,4.7319258337933405,0.9810059344130239,997,998,12551,11551,24102
0.75,0.1,0.03,4,3,10,0.8,4.73413405162458,0.9809882025962391,997,998,12352,11352,23704
0.75,0.0,0.05,4,3,5,1.0,4.735739111768862,0.9809753088966248,997,998,12751,11751,24502
0.75,0.3,0.03,4,3,10,0.8,4.750938662648128,0.9808529918517449,998,999,11948,10948,22896
0.75,0.3,0.03,4,3,5,0.8,4.753807458024237,0.9808298615036619,734,735,9627,8842,18469
0.75,0.0,0.03,4,3,1,1.0,4.760183512346901,0.980778403039673,782,783,11112,10279,21391
0.75,1.0,0.03,4,3,1,0.8,4.762696476542084,0.9807581030093245,581,582,6947,6315,13262
0.75,0.0,0.05,4,5,5,1.0,4.763708176148202,0.98074992735198,852,853,10617,9714,20331
0.75,0.1,0.05,4,3,20,0.8,4.7642048396936,0.9807459131229881,991,992,12076,11076,23152
0.75,0.1,0.05,4,5,1,0.8,4.765997639656936,0.9807314195307876,448,449,6405,5906,12311
0.75,0.0,0.05,4,3,20,0.8,4.768301851698544,0.9807127835048203,995,996,12434,11434,23868
0.75,0.0,0.03,4,3,5,1.0,4.773422978679099,0.9806713325529883,999,1000,12655,11655,24310
0.75,0.1,0.1,4,3,1,0.8,4.78444831795048,0.9805819412606895,342,343,5290,4897,10187
0.75,0.3,0.05,4,3,20,0.8,4.785535132536259,0.9805731184142547,995,996,11489,10489,21978
0.75,0.0,0.05,4,5,1,0.8,4.785576649630252,0.9805727813354765,448,449,6541,6042,12583
0.75,0.0,0.1,4,3,20,1.0,4.788904842496773,0.9805457501044336,680,681,9169,8438,17607
0.75,1.0,0.05,4,3,1,0.8,4.795427695768042,0.980492717670678,345,346,4296,3900,8196
0.75,0.0,0.05,4,3,10,1.0,4.8009744356967055,0.980447564493232,996,997,11920,10920,22840
0.75,0.1,0.05,4,3,10,0.8,4.805448949116293,0.980411101726967,850,851,11169,10268,21437
0.75,1.0,0.03,4,3,5,0.8,4.809680709902471,0.9803765858962723,732,733,8229,7446,15675
0.75,0.3,0.05,4,5,1,0.8,4.811189188218452,0.9803642748351185,448,449,6148,5649,11797
0.75,0.0,0.1,4,3,10,1.0,4.833742727193199,0.9801797495266296,698,699,9482,8733,18215
0.75,0.1,0.1,4,3,10,0.8,4.83865989126663,0.9801394043946056,542,543,7348,6755,14103
0.75,1.0,0.03,4,5,1,0.8,4.845863173738986,0.9800802276924633,719,720,7986,7216,15202
0.75,0.3,0.05,4,3,10,0.8,4.848477184122777,0.9800587311978185,734,735,9236,8451,17687
0.75,1.0,0.05,4,3,5,0.8,4.848562237929637,0.9800580315572355,723,724,6576,5802,12378
0.75,0.0,0.05,4,3,10,0.8,4.851684444164551,0.980032340235933,723,724,9830,9056,18886
0.75,1.0,0.05,4,5,1,0.8,4.8584920799848375,0.9799762657223358,430,431,4764,4283,9047
0.75,0.0,0.1,4,3,1,0.8,4.865245009490085,0.9799205641442815,342,343,5480,5087,10567
