colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,val_rmse,val_r2,best_iteration,best_n_estimators,n_leaves,n_splits,n_nodes,bin_id,bin_mid,bin_median,bin_min,bin_count,bin_left,bin_right
0.75,0.0,0.1,4,3,1,0.8,3.3898166653023294,0.9902524718935278,425,426,6653,6177,12830,7,6931.0,4.805455757325583,3.3898166653023294,117,6284.799999999999,7162.599999999999
0.75,0.0,0.1,4,3,5,0.8,3.4268897653357566,0.990038096186754,563,564,8142,7528,15670,9,8569.0,4.228009255229204,3.4268897653357566,30,8040.4,8918.2
0.75,0.0,0.1,4,3,10,1.0,3.429929271067711,0.9900204167782952,862,863,11498,10585,22083,12,11210.5,4.228199975216141,3.429929271067711,50,10673.8,11551.599999999999
0.75,0.0,0.05,4,3,1,1.0,3.433587261913317,0.9899991191435984,993,994,13325,12325,25650,15,13527.0,3.8179163343286655,3.433587261913317,18,13307.199999999999,14185.0
0.75,0.1,0.1,4,3,5,0.8,3.4628043246363687,0.9898281961299892,648,649,8768,8069,16837,9,8569.0,4.228009255229204,3.4268897653357566,30,8040.4,8918.2
0.75,0.1,0.03,4,3,1,0.8,3.470638487837172,0.9897821191902116,990,991,13383,12383,25766,15,13527.0,3.8179163343286655,3.433587261913317,18,13307.199999999999,14185.0
0.75,0.3,0.1,4,3,1,0.8,3.4718231235719323,0.98977514264535,364,365,4988,4573,9561,5,4945.5,4.541048571460504,3.4718231235719323,98,4529.2,5407.0
0.75,0.0,0.03,4,3,1,0.8,3.4794420026662016,0.9897302167221852,991,992,13721,12721,26442,15,13527.0,3.8179163343286655,3.433587261913317,18,13307.199999999999,14185.0
0.75,0.1,0.1,4,3,1,0.8,3.480462196070071,0.9897241935143634,342,343,5300,4907,10207,5,4945.5,4.541048571460504,3.4718231235719323,98,4529.2,5407.0
0.75,0.3,0.1,4,3,5,0.8,3.4912532005970998,0.9896603754541108,549,550,6620,6020,12640,7,6931.0,4.805455757325583,3.3898166653023294,117,6284.799999999999,7162.599999999999
0.75,0.3,0.03,4,3,1,0.8,3.4919245877644656,0.9896563983385488,991,992,12500,11500,24000,14,12810.0,4.062882279000357,3.4919245877644656,30,12429.4,13307.199999999999
0.75,0.0,0.1,4,3,10,0.8,3.52014304285362,0.9894885483157584,864,865,11932,11017,22949,13,11962.5,4.094689769104635,3.52014304285362,48,11551.599999999999,12429.4
0.75,0.0,0.05,4,3,1,0.8,3.5353751758680247,0.9893973825642528,648,649,9597,8898,18495,10,9249.0,4.145608233658916,3.5353751758680247,34,8918.2,9796.0
0.75,0.3,0.05,4,3,1,0.8,3.536485358593364,0.9893907226256142,548,549,7418,6819,14237,8,7424.0,4.700652294768277,3.536485358593364,207,7162.599999999999,8040.4
0.75,0.1,0.05,4,3,1,0.8,3.540048107296718,0.9893693357260112,580,581,8429,7798,16227,9,8569.0,4.228009255229204,3.4268897653357566,30,8040.4,8918.2
0.75,0.1,0.05,4,3,5,0.8,3.5802576407212103,0.989126468030648,850,851,11420,10519,21939,12,11210.5,4.228199975216141,3.429929271067711,50,10673.8,11551.599999999999
0.75,0.0,0.05,4,3,5,0.8,3.584153074549079,0.9891027936633472,850,851,11793,10892,22685,13,11962.5,4.094689769104635,3.52014304285362,48,11551.599999999999,12429.4
0.75,0.0,0.1,3,3,1,0.8,3.6087592193567537,0.9889526557362238,965,966,7710,6710,14420,8,7424.0,4.700652294768277,3.536485358593364,207,7162.599999999999,8040.4
0.75,0.3,0.05,4,3,5,0.8,3.623135709525685,0.98886446010871,850,851,10365,9464,19829,11,10253.5,4.2411684189967325,3.623135709525685,36,9796.0,10673.8
0.75,0.0,0.1,4,3,5,1.0,3.6328726767726,0.9888045274477674,748,749,10452,9653,20105,11,10253.5,4.2411684189967325,3.623135709525685,36,9796.0,10673.8
1.0,0.1,0.1,4,3,20,0.8,3.638298938654395,0.988771058102242,733,734,10210,9426,19636,11,10253.5,4.2411684189967325,3.623135709525685,36,9796.0,10673.8
1.0,0.0,0.1,4,3,1,0.8,3.6442172777135577,0.988734496655068,376,377,6243,5816,12059,6,5847.0,4.525032584484768,3.6442172777135577,111,5407.0,6284.799999999999
