SOC_bin,SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
0-5%,61.345657,4.5146847,0.92106956,4.6932445
5-10%,52.351444,6.6193233,1.4384654,5.943593
10-15%,30.568377,9.223613,2.7707422,9.119941
15-20%,,,,
20-25%,9.698519,9.093442,3.109528,9.260075
25-30%,6.618259,7.2121263,2.58827,6.989445
30-35%,,,,
35-40%,,,,
40-45%,13.680041,5.5771704,1.8123626,5.5272565
45-50%,,,,
50-55%,17.954021,4.9067745,1.5909412,4.8760343
55-60%,21.335335,4.7271953,1.6711681,4.650746
60-65%,,,,
65-70%,24.133379,4.6266046,1.4662094,4.8037367
70-75%,,,,
75-80%,,,,
80-85%,26.328852,4.695104,1.4658941,4.8081346
85-90%,,,,
90-95%,28.417791,4.7823257,1.4948021,4.9197016
95-100%,,,,
100-105%,28.942482,4.8277373,1.5226046,4.933866
