SOC_bin,SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
0-5%,-61.135265,1.8820735,-0.17699294,-0.8949518
5-10%,-52.09904,-0.3144024,-0.04158442,-0.11681232
10-15%,-30.260845,-0.73187613,-0.053239115,0.2505786
15-20%,,,,
20-25%,-9.545423,-0.36651483,-0.014463202,0.15113038
25-30%,6.2424417,-0.2122287,0.18364917,0.012295946
30-35%,,,,
35-40%,,,,
40-45%,13.7103615,-0.16849384,0.11566193,0.0019799774
45-50%,,,,
50-55%,17.991543,-0.17023703,0.07627763,0.0055425484
55-60%,21.431377,-0.16404034,0.030890564,0.025081754
60-65%,,,,
65-70%,24.164202,-0.16254781,0.027763613,0.028632753
70-75%,,,,
75-80%,,,,
80-85%,26.323498,-0.16361885,0.02914977,0.034706615
85-90%,,,,
90-95%,28.445826,-0.16194119,0.029341228,0.032307815
95-100%,,,,
100-105%,28.989891,-0.1610129,0.035500143,0.027817305
