seed,SOC,Temperature(C),Capacity,R_50%
0,27.560144,5.961933,2.5823073,5.4323764
1,27.676346,6.0096955,3.3154132,4.5277734
2,27.662096,6.0200686,2.9494402,5.0227723
3,27.74162,6.0070877,2.5800786,5.395812
4,27.616806,6.008175,2.4800653,5.607178
5,27.618382,5.9328003,2.626067,5.2555
6,27.573374,6.033854,2.2507243,5.8239584
7,27.664349,6.020575,2.6154194,5.3337874
8,27.584366,5.9892206,2.4577465,5.6182804
9,27.644674,6.0342693,2.1726875,5.845935
10,27.64088,5.9876313,2.183215,5.684607
11,27.748627,6.027155,2.257413,5.9340734
12,27.672483,5.9699507,3.2545178,4.797319
13,27.673504,6.0182495,1.6040295,6.547363
14,27.666279,6.000173,3.2652338,4.639848
15,27.69363,6.039916,2.6170053,5.2547894
16,27.661531,5.9727454,2.8146348,5.2662687
17,27.662767,5.988769,2.4599516,5.5468926
18,27.594555,5.9775615,2.3084924,5.780692
19,27.5675,6.079698,2.9312906,5.2345777
