y_actual,y_predicted
93.574,89.21648
65.808,62.369785
93.59,94.19811
107.37,106.21069
104.41,105.45597
96.69,96.25039
85.68,78.76761
43.891,46.08132
61.358,62.43899
43.256,56.441933
98.471,98.03656
26.938,40.799385
40.848,47.417755
34.323,39.808037
30.112,39.682568
5.9306,3.539736
93.653,94.89165
11.663,17.107586
89.703,85.70638
86.01,78.989
95.322,92.083626
79.224,75.51247
92.439,91.13764
58.875,54.91179
99.42,78.23356
97.76,93.487434
90.168,82.928
84.357,65.39736
75.532,34.680862
48.083,27.535856
92.676,95.459526
89.673,89.28766
99.224,102.30898
97.418,97.73914
89.868,71.49917
71.244,49.258053
